fdStep,delta,deltaStdDev
0.5,0.5817401175148637,0.0008356756813109712
0.3,0.6267482025757692,0.0010480436484844283
0.2,0.6514222405218109,0.001150348024420638
0.1,0.669749072301417,0.0012420587391232365
0.05,0.67496076924399,0.001284997748883252
0.02,0.6766169870062333,0.001310160442780139
0.01,0.6770018065763914,0.0013184235855817033
0.005,0.6771636173199148,0.0013225136937233164
