samples,price,priceStdDev,delta,deltaStdDev,seconds
500,13.563453590942702,0.8407743443190465,0.6488933873285593,0.02592215183497639,0.003
1000,12.956798725987312,0.5742721467303395,0.6892200338628536,0.01857717745144557,0.002
2000,13.591444808110586,0.41917915332532873,0.6628739127532969,0.013273452210692442,0.002
5000,13.835504925605429,0.27251783777593924,0.6611890140145252,0.008348863623905975,0.002
10000,13.703611700171475,0.192695710628674,0.678482702328125,0.00592494163896308,0.003
20000,13.960889045115595,0.1379303733719427,0.6691583912704389,0.004178088171826817,0.004
50000,13.860466860468227,0.08640298912860328,0.6744357196831767,0.0026354923241098554,0.008
100000,13.883660710013604,0.06110597476042564,0.6714240707029139,0.0018666989827128562,0.012
200000,13.885956711990426,0.04317441187387524,0.6770018065763914,0.0013184235855817033,0.024
